Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
China Retail,INDOPACOM,East Asia,53,BYD Han,"108,732",0.54%,256.40%,"30,505",0.16%,164,Asia
China Retail,INDOPACOM,East Asia,54,Buick Regal,"107,627",0.53%,-12.60%,"123,089",0.65%,45,Asia
China Retail,INDOPACOM,East Asia,55,Chevrolet Monza,"105,645",0.52%,-17.30%,"127,740",0.67%,43,Asia
China Retail,INDOPACOM,East Asia,56,Haval Big Dog,"104,669",0.52%,355.40%,"22,983",0.12%,203,Asia
China Retail,INDOPACOM,East Asia,57,Toyota Highlander,"103,279",0.51%,7.20%,"96,337",0.51%,57,Asia
China Retail,INDOPACOM,East Asia,58,Toyota Wildlander,"103,071",0.51%,77.60%,"58,027",0.30%,93,Asia
China Retail,INDOPACOM,East Asia,59,Nissan X-Trail,"102,562",0.51%,-39.40%,"169,351",0.89%,21,Asia
China Retail,INDOPACOM,East Asia,60,Roewe RX5,"100,179",0.49%,0.20%,"100,025",0.52%,53,Asia
China Retail,INDOPACOM,East Asia,61,BMW X1,"97,171",0.48%,4.40%,"93,116",0.49%,60,Asia
China Retail,INDOPACOM,East Asia,62,Geely Binyue,"96,226",0.47%,9.30%,"88,063",0.46%,63,Asia
China Retail,INDOPACOM,East Asia,63,Honda Fit,"95,645",0.47%,60.20%,"59,704",0.31%,90,Asia
China Retail,INDOPACOM,East Asia,64,Geely Vision X3,"94,618",0.47%,3.20%,"91,701",0.48%,61,Asia
China Retail,INDOPACOM,East Asia,65,LI One,"91,310",0.45%,173.00%,"33,447",0.18%,143,Asia
China Retail,INDOPACOM,East Asia,66,Mazda3 Axela,"91,079",0.45%,3.30%,"88,176",0.46%,62,Asia
China Retail,INDOPACOM,East Asia,67,Wuling Hongguang V,"90,181",0.44%,-6.80%,"96,732",0.51%,55,Asia
China Retail,INDOPACOM,East Asia,68,ChangAn UNI-T ,"83,890",0.41%,33.90%,"62,665",0.33%,86,Asia
China Retail,INDOPACOM,East Asia,69,ChangAn CS35 Plus,"83,407",0.41%,-13.60%,"96,551",0.51%,56,Asia
China Retail,INDOPACOM,East Asia,70,MG 5,"82,245",0.41%,4112150.00%,2,0.00%,839,Asia
China Retail,INDOPACOM,East Asia,71,Hongqi H5,"81,056",0.40%,23.60%,"65,562",0.34%,83,Asia
China Retail,INDOPACOM,East Asia,72,Hyundai iX35,"80,719",0.40%,7.00%,"75,437",0.40%,72,Asia
China Retail,INDOPACOM,East Asia,73,GAC Trumpchi GS4,"80,700",0.40%,-31.60%,"118,023",0.62%,47,Asia
China Retail,INDOPACOM,East Asia,74,Toyota Yaris L,"79,466",0.39%,-7.40%,"85,825",0.45%,64,Asia
China Retail,INDOPACOM,East Asia,75,Jetta VS5,"79,427",0.39%,5.50%,"75,295",0.40%,73,Asia
China Retail,INDOPACOM,East Asia,76,TANK 300,"77,593",0.38%,26935.90%,287,0.00%,576,Asia
China Retail,INDOPACOM,East Asia,77,Audi Q3,"76,895",0.38%,15.10%,"66,791",0.35%,82,Asia
China Retail,INDOPACOM,East Asia,78,Chery eQ1 (Little Ant),"75,240",0.37%,110.00%,"35,825",0.19%,138,Asia
China Retail,INDOPACOM,East Asia,79,Buick Envision,"73,940",0.36%,-30.60%,"106,468",0.56%,51,Asia
China Retail,INDOPACOM,East Asia,80,Lynk & Co 03,"73,074",0.36%,5.80%,"69,096",0.36%,79,Asia
China Retail,INDOPACOM,East Asia,81,VW T-Roc,"72,251",0.36%,-32.20%,"106,574",0.56%,50,Asia
China Retail,INDOPACOM,East Asia,82,ChangAn CS75,"72,214",0.36%,3.90%,"69,484",0.36%,78,Asia
China Retail,INDOPACOM,East Asia,83,GAC NE Aion S,"71,837",0.35%,33.60%,"53,789",0.28%,99,Asia
China Retail,INDOPACOM,East Asia,84,Changan Benben E-star,"71,496",0.35%,new,0,0.00%, –,Asia
China Retail,INDOPACOM,East Asia,85,Chery Tiggo 8,"70,099",0.35%,-16.90%,"84,364",0.44%,66,Asia
China Retail,INDOPACOM,East Asia,86,Ora R1/Black Cat,"69,190",0.34%,54.90%,"44,664",0.23%,116,Asia
China Retail,INDOPACOM,East Asia,87,BYD Song Pro,"68,866",0.34%,-34.40%,"104,922",0.55%,52,Asia
China Retail,INDOPACOM,East Asia,88,Jetour X70 PLUS,"67,757",0.33%,385.80%,"13,948",0.07%,261,Asia
China Retail,INDOPACOM,East Asia,89,VW Golf,"64,918",0.32%,-30.70%,"93,730",0.49%,59,Asia
China Retail,INDOPACOM,East Asia,90,Volvo XC60,"64,842",0.32%,1.30%,"63,980",0.34%,84,Asia
China Retail,INDOPACOM,East Asia,91,GAC Trumpchi GM8,"64,598",0.32%,92.60%,"33,538",0.18%,141,Asia
China Retail,INDOPACOM,East Asia,92,Geely Vision X6 (SUV),"64,385",0.32%,-21.80%,"82,351",0.43%,67,Asia
China Retail,INDOPACOM,East Asia,93,Wuling Victory,"62,178",0.31%,283.70%,"16,204",0.09%,241,Asia
China Retail,INDOPACOM,East Asia,94,Cadillac CT5,"61,969",0.31%,45.50%,"42,579",0.22%,119,Asia
China Retail,INDOPACOM,East Asia,95,VW Lamando,"61,137",0.30%,-11.00%,"68,705",0.36%,81,Asia
China Retail,INDOPACOM,East Asia,96,Geely Binrui,"60,385",0.30%,-3.00%,"62,284",0.33%,88,Asia
China Retail,INDOPACOM,East Asia,97,Xpeng P7,"60,072",0.30%,284.90%,"15,606",0.08%,249,Asia
China Retail,INDOPACOM,East Asia,98,Mercedes A-Klasse,"59,238",0.29%,-14.10%,"68,922",0.36%,80,Asia
China Retail,INDOPACOM,East Asia,99,Audi A3,"56,917",0.28%,-33.20%,"85,172",0.45%,65,Asia
China Retail,INDOPACOM,East Asia,100,Mercedes GLB,"56,293",0.28%,3.90%,"54,186",0.28%,97,Asia
China Retail,INDOPACOM,East Asia,101,Mitsubishi Outlander,"54,661",0.27%,-6.50%,"58,461",0.31%,92,Asia
China Retail,INDOPACOM,East Asia,102,Nissan Tiida,"54,284",0.27%,-13.60%,"62,860",0.33%,85,Asia
China Retail,INDOPACOM,East Asia,103,Lynk & Co 06,"52,680",0.26%,207.40%,"17,138",0.09%,230,Asia
China Retail,INDOPACOM,East Asia,104,Jetta VA3,"52,638",0.26%,30.20%,"40,428",0.21%,122,Asia
China Retail,INDOPACOM,East Asia,105,Chery Tiggo 5X,"52,560",0.26%,15.60%,"45,455",0.24%,114,Asia
China Retail,INDOPACOM,East Asia,106,BYD Tang,"52,531",0.26%,72.40%,"30,473",0.16%,165,Asia
China Retail,INDOPACOM,East Asia,107,Chevrolet Malibu XL,"52,272",0.26%,1.60%,"51,470",0.27%,105,Asia
China Retail,INDOPACOM,East Asia,108,Honda Elysion,"52,158",0.26%,24.80%,"41,783",0.22%,121,Asia
China Retail,INDOPACOM,East Asia,109,Buick LaCrosse,"52,139",0.26%,5.50%,"49,409",0.26%,109,Asia
China Retail,INDOPACOM,East Asia,110,Honda Inspire,"52,047",0.26%,12.00%,"46,476",0.24%,111,Asia
China Retail,INDOPACOM,East Asia,111,Cadillac XT5,"51,777",0.26%,-17.40%,"62,654",0.33%,87,Asia
China Retail,INDOPACOM,East Asia,112,Toyota Vios,"50,912",0.25%,-5.40%,"53,842",0.28%,98,Asia
China Retail,INDOPACOM,East Asia,113,VW Polo,"50,799",0.25%,5.70%,"48,055",0.25%,110,Asia
China Retail,INDOPACOM,East Asia,114,COS X7,"50,558",0.25%,-36.50%,"79,559",0.42%,70,Asia
China Retail,INDOPACOM,East Asia,115,Chery Tiggo 8 PLUS,"49,825",0.25%,381.90%,"10,339",0.05%,298,Asia
China Retail,INDOPACOM,East Asia,116,Lincoln Corsair,"49,594",0.24%,51.60%,"32,705",0.17%,151,Asia
China Retail,INDOPACOM,East Asia,117,Cadillac XT4,"49,215",0.24%,-14.90%,"57,807",0.30%,94,Asia
China Retail,INDOPACOM,East Asia,118,Toyota C-HR,"48,499",0.24%,-14.20%,"56,533",0.30%,95,Asia
China Retail,INDOPACOM,East Asia,119,Audi Q2L,"48,418",0.24%,-7.90%,"52,577",0.28%,101,Asia
China Retail,INDOPACOM,East Asia,120,VW Teramont,"47,615",0.23%,9.70%,"43,393",0.23%,118,Asia
China Retail,INDOPACOM,East Asia,121,GAC Trumpchi GM6,"47,169",0.23%,28.70%,"36,659",0.19%,137,Asia
China Retail,INDOPACOM,East Asia,122,MG 6,"47,162",0.23%,-11.60%,"53,356",0.28%,100,Asia
China Retail,INDOPACOM,East Asia,123,Chery Arrizo 5/e,"46,912",0.23%,17.30%,"39,994",0.21%,124,Asia
China Retail,INDOPACOM,East Asia,124,Roewe Clever,"46,608",0.23%,343.80%,"10,502",0.06%,296,Asia
China Retail,INDOPACOM,East Asia,125,Neta V,"46,386",0.23%,1667.80%,"2,624",0.01%,420,Asia
China Retail,INDOPACOM,East Asia,126,Chery Tiggo 7,"45,922",0.23%,38.20%,"33,221",0.17%,145,Asia
China Retail,INDOPACOM,East Asia,127,VW T-Cross,"45,604",0.22%,-11.40%,"51,459",0.27%,106,Asia
China Retail,INDOPACOM,East Asia,128,Wuling Rongguang,"45,372",0.22%,-8.40%,"49,559",0.26%,108,Asia
China Retail,INDOPACOM,East Asia,129,Honda Odyssey,"45,236",0.22%,16.60%,"38,804",0.20%,128,Asia
China Retail,INDOPACOM,East Asia,130,Lynk & Co 01,"44,870",0.22%,37.10%,"32,727",0.17%,150,Asia
China Retail,INDOPACOM,East Asia,131,Honda Crider,"44,846",0.22%,-65.60%,"130,497",0.68%,41,Asia
