Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Norway,EUCOM,Northern Europe,56,Skoda Superb,771,0.40%,-45.50%,"1,414",1.00%,29,Europe
Norway,EUCOM,Northern Europe,57,Suzuki SX4 S-Cross,755,0.40%,98.20%,381,0.30%,73,Europe
Norway,EUCOM,Northern Europe,58,Hyundai Tucson,751,0.40%,496.00%,126,0.10%,108,Europe
Norway,EUCOM,Northern Europe,59,Ford Explorer,705,0.40%,32.30%,533,0.40%,61,Europe
Norway,EUCOM,Northern Europe,60,Jaguar i-Pace,694,0.40%,-46.80%,"1,305",0.90%,30,Europe
Norway,EUCOM,Northern Europe,61,Mazda CX-30,687,0.40%,-30.20%,984,0.70%,41,Europe
Norway,EUCOM,Northern Europe,64,Renault Captur,666,0.40%,165.30%,251,0.20%,86,Europe
Norway,EUCOM,Northern Europe,65,Peugeot 5008,665,0.40%,39.40%,477,0.30%,64,Europe
Norway,EUCOM,Northern Europe,66,Suzuki Vitara,652,0.40%,52.30%,428,0.30%,62,Europe
Norway,EUCOM,Northern Europe,67,Audi e-tron GT,641,0.40%,new,0,0.00%, –,Europe
Norway,EUCOM,Northern Europe,68,Fiat 500,607,0.30%,4569.20%,13,0.00%,202,Europe
Norway,EUCOM,Northern Europe,69,VW Golf,596,0.30%,-88.20%,"5,068",3.60%,5,Europe
Norway,EUCOM,Northern Europe,70,Mercedes GLC,590,0.30%,-20.40%,741,0.50%,48,Europe
Norway,EUCOM,Northern Europe,62,Mini Countryman,576,0.30%,-8.10%,627,0.40%,54,Europe
Norway,EUCOM,Northern Europe,63,Mitsubishi Outlander,554,0.30%,-83.00%,"3,258",2.30%,10,Europe
Norway,EUCOM,Northern Europe,71,BMW X2,534,0.30%,50.00%,356,0.30%,75,Europe
Norway,EUCOM,Northern Europe,72,Suzuki Swift,532,0.30%,-11.90%,604,0.40%,56,Europe
