Country,Command,Region,Position_2021,Model,Sales_2021,Percent_2021,Growth_2021,Sales_2020,Percent_2020,Position_2020,Continent
Vietnam,INDOPACOM,Southeast Asia,49,Toyota Yaris,"1,118",0.30%,-28.70%,"1,569",0.40%,46,Asia
Vietnam,INDOPACOM,Southeast Asia,50,Mitsubishi Pajero Sport,"1,076",0.30%,18.80%,906,0.20%,53,Asia
Vietnam,INDOPACOM,Southeast Asia,51,Ford Transit,898,0.20%,-26.30%,"1,219",0.30%,49,Asia
Vietnam,INDOPACOM,Southeast Asia,52,Mazda CX-30,867,0.20%,new,0,0.00%, –,Asia
Vietnam,INDOPACOM,Southeast Asia,53,Toyota Raize,769,0.20%,new,0,0.00%, –,Asia
Vietnam,INDOPACOM,Southeast Asia,54,Toyota Prado,628,0.20%,54.30%,407,0.10%,57,Asia
Vietnam,INDOPACOM,Southeast Asia,55,Suzuki Swift,553,0.10%,-14.70%,648,0.20%,55,Asia
Vietnam,INDOPACOM,Southeast Asia,56,Suzuki Ciaz,326,0.10%,12.00%,291,0.10%,61,Asia
Vietnam,INDOPACOM,Southeast Asia,57,Kia Rondo,324,0.10%,-68.80%,"1,037",0.30%,51,Asia
Vietnam,INDOPACOM,Southeast Asia,58,Isuzu D-Max,291,0.10%,54.80%,188,0.00%,64,Asia
Vietnam,INDOPACOM,Southeast Asia,59,Toyota Land Cruiser,257,0.10%,-25.70%,346,0.10%,59,Asia
Vietnam,INDOPACOM,Southeast Asia,60,Toyota Hiace,194,0.00%,252.70%,55,0.00%,69,Asia
Vietnam,INDOPACOM,Southeast Asia,61,Ford Tourneo,182,0.00%,-46.50%,340,0.10%,60,Asia
Vietnam,INDOPACOM,Southeast Asia,62,Isuzu MU-X,155,0.00%,-72.00%,554,0.10%,56,Asia
Vietnam,INDOPACOM,Southeast Asia,63,Honda Accord,120,0.00%,-57.90%,285,0.10%,62,Asia
Vietnam,INDOPACOM,Southeast Asia,64,Toyota Alphard,107,0.00%,109.80%,51,0.00%,70,Asia
Vietnam,INDOPACOM,Southeast Asia,65,Kia Optima,96,0.00%,-89.90%,949,0.20%,52,Asia
