Model,Sales,Type
Audi A7,12430,ZZZ
Suzuki Xbee,12401,SUV
Isuzu Traga PHR,12392,ZZZ
Citroen C4 Spacetourer,12335,ZZZ
Toyota Yaris L Sedan,12334,ZZZ
Geometry A,12215,ZZZ
Renault Koleos,12175,SUV
Jaguar XEL,12157,ZZZ
Toyota Starlet,12103,ZZZ
Mazda 6,12053,ZZZ
Audi Q5L Sportback,12044,ZZZ
Mahindra XUV700,11964,ZZZ
VW Talagon,11960,SUV
Baojun RM-5,11952,ZZZ
Chevrolet Groove,11926,ZZZ
Sehol (SOL) A5,11885,ZZZ
Dacia Dokker,11865,Van
Alfa Romeo Giulia,11836,ZZZ
Ford Equator,11768,ZZZ
Nissan NV,11681,ZZZ
Mazda MX-5 Miata,11563,ZZZ
Porsche 718,11553,ZZZ
Peugeot Rifter,11475,ZZZ
Nissan NP200,11408,Pickup Truck
BMW 6 Series GT,11338,ZZZ
Suzuki Alivio,11163,ZZZ
SsangYong Korando,11130,SUV
Peugeot Partner,10980,Van
Hyundai Santa Cruz,10972,Pickup Truck
Renault Kangoo,10947,Van
Isuzu N Series,10916,ZZZ
Lynk & Co 02,10903,ZZZ
Kia Mohave,10869,ZZZ
Suzuki Bolan,10855,ZZZ
Exeed LX,10842,SUV
Chevrolet Nexia,10830,ZZZ
Hyundai Casper,10806,SUV
BMW 8 Series,10769,ZZZ
Exeed TXL,10699,ZZZ
Maserati Levante,10671,SUV
Dongfeng Fengxing Jingye S50,10598,ZZZ
Kia Cerato/K3,10505,ZZZ
Mazda Flair Wagon,10461,ZZZ
Wuling Confero S,10448,ZZZ
MG5,10443,ZZZ
BMW Z4,10408,ZZZ
Baojun E100,10314,ZZZ
Mitsubishi L300,10147,Van
R ER6,10119,ZZZ
Chana Honor S,10003,ZZZ
VW Phideon,9792,ZZZ
Dongfeng Fengxing T5,9743,SUV
Kia Soluto,9711,ZZZ
Dongfeng Glory 330,9702,ZZZ
Wuling Almaz,9694,SUV
VW Taigun,9689,SUV
Mazda MX-30,9670,SUV
WEY Mocha,9667,SUV
Venucia Grand V,9654,ZZZ
Mercedes GLC Coupe,9641,ZZZ
Geometry C,9595,SUV
Hyundai Ioniq5,9548,ZZZ
Mercedes CLS,9448,ZZZ
Mercedes AMG GT,9350,ZZZ
GAC Trumpchi GS4 Plus,9271,ZZZ
Wuling Journey,9257,ZZZ
Hyundai Nexo,9216,SUV
Geely Xingyue (Star),9200,ZZZ
Dodge Grand Caravan,9172,ZZZ
Mitsubishi L-200,9029,ZZZ
Renault Sandero Stepway,9007,SUV
Citroen C5 X,8932,ZZZ
Renault Trafic,8851,Van
LDV G10,8820,ZZZ
FAW Bestune B30,8809,ZZZ
Haval Jolion,8739,SUV
Lexus LS,8645,ZZZ
Jaguar E-Pace,8611,SUV
Toyota Sequoia,8597,SUV
BMW 4er,8571,ZZZ
Infiniti QX60,8530,SUV
VW ID.6 Crozz,8527,ZZZ
Mitsubishi L200 Triton,8516,ZZZ
Ford Ka,8464,ZZZ
Lexus UX250H,8263,ZZZ
Betsune T99,8191,ZZZ
Chana Oshan A600,8189,ZZZ
Toyota Supra,8185,ZZZ
GWM Haval Jolion,8138,ZZZ
Chevrolet Sail,8123,ZZZ
Peugeot 4008,8102,SUV
Dongfeng Fengxing Plus,8027,ZZZ
Citroen Jumpy,8021,ZZZ
Volvo S/V/XC60,8016,ZZZ
Chevrolet Joy,7983,ZZZ
Seres 5,7962,ZZZ
Dongfeng Xiaokang K01,7957,ZZZ
Buick GL6,7904,ZZZ
Volvo S/V90,7891,ZZZ
Bestune T33,7887,SUV
Dongfeng Fengxing T1EV,7876,ZZZ
Volvo V90,7865,ZZZ
Toyota Corolla Quest,7860,ZZZ
Mitsubishi Montero Sport,7815,ZZZ
Changan Yuexiang,7761,ZZZ
Baojun E200,7733,ZZZ
Maxus T60,7688,Pickup Truck
Bestune T55,7668,SUV
Beijing EC5,7641,ZZZ
Citroen,7618,ZZZ
Xpeng P5,7606,ZZZ
Suzuki Swift Dzire,7564,ZZZ
Citroen C3/C3 Aircross,7531,ZZZ
Lingbox Leo,7525,ZZZ
Smart Forfour,7497,ZZZ
Suzuki Carry,7476,ZZZ
Skoda Kamiq GT,7448,ZZZ
Toyota Proace,7433,Van
Baojun 310,7406,ZZZ
Volkswagen,7392,ZZZ
Maxus G10,7380,ZZZ
Peugeot Expert,7276,Van
GWM Haval H6,7270,ZZZ
Hyundai Mistra,7269,ZZZ
Jetour X70M,7260,ZZZ
Opel,7200,ZZZ
Jeep Grand Commander,7196,SUV
Hyundai Grand Starex,7192,ZZZ
Jaguar XFL,7179,ZZZ
Chevrolet Cruze Sedan,7090,ZZZ
Dongfeng Fengxing SX6,7089,ZZZ
Dodge Attitude,7046,ZZZ
COS Cosmos,6996,ZZZ
Changan Eado DT,6986,ZZZ
Seat Mii,6986,ZZZ
Genesis G90,6972,ZZZ
Toyota,6953,ZZZ
Sehol (SOL) QX,6853,ZZZ
Mercedes CLA Class,6822,ZZZ
Hongqi H7,6749,ZZZ
Fiat,6744,ZZZ
Changan CS95,6735,SUV
VW ID.6 X,6731,ZZZ
Fiat Pulse,6724,ZZZ
Nissan Patrol Wagon,6666,ZZZ
Maxus G20,6619,ZZZ
Ford Transit Custom,6606,ZZZ
Beijing EC Series,6571,ZZZ
Haima 7X,6529,ZZZ
Fiat 500 lineup,6477,ZZZ
Opel Zafira Life,6444,ZZZ
Voyah Free,6433,SUV
Ford,6385,ZZZ
VinFast Lux A2.0,6330,ZZZ
Ford Endeavour,6317,ZZZ
Suzuki SX4,6292,ZZZ
Ford Figo,6254,ZZZ
Kia K9,6205,ZZZ
Kia Optima,6121,ZZZ
VW Polo Sedan,6118,ZZZ
SsangYong Rexton,6091,SUV
VGV U70,6083,ZZZ
Baojun 360,6040,ZZZ
Mitsubishi Mirage G4,5962,ZZZ
Hongqi E-QM5,5949,ZZZ
Chevrolet Optra,5935,ZZZ
Hyundai iLoad,5900,ZZZ
BYD e3,5888,ZZZ
Iran Khodro Tara,5888,ZZZ
Geely Coolray,5883,ZZZ
COS Kosai 5,5861,ZZZ
Citroen C4/Spacetourer,5848,ZZZ
Gmc Yukon,5830,SUV
Chevrolet Cavalier,5827,ZZZ
Maserati Ghibli,5784,ZZZ
Haima S7,5737,ZZZ
Nissan V-Drive,5686,ZZZ
Haval Shenshou,5662,SUV
Changan CS15,5636,SUV
Honda Mobilio,5624,Van
JAC Refine M4,5581,ZZZ
WEY VV7,5554,SUV
Ford S-Max,5551,Van
Opel Combo,5546,Van
Zeekr 001,5546,ZZZ
Chery Arrizo 5,5541,ZZZ
Renault Talisman,5534,ZZZ
Chevrolet Orlando,5511,ZZZ
Geely Tugella,5506,ZZZ
Hyundai Custo,5501,ZZZ
Mazda MX-5,5493,ZZZ
Changan Alsvin,5482,ZZZ
Great Wall Poer,5454,ZZZ
Jeep Wagoneer,5433,SUV
BMW 320i,5428,ZZZ
Mahindra XUV500,5339,ZZZ
COS 1°,5308,ZZZ
Mini Cooper Hatch,5305,ZZZ
Mitsubishi Strada (L200),5272,ZZZ
Hyundai Reina,5250,ZZZ
Chevrolet N400 Max,5246,ZZZ
MG eHS,5236,ZZZ
Seat Alhambra,5197,ZZZ
VinFast Lux SA2.0,5180,ZZZ
Changan CS85,5161,SUV
BMW 2 Series Gran Coupe,5128,ZZZ
Mercedes AMG GLE,5123,ZZZ
Nissan Almera,5060,ZZZ
Ram 700,5051,ZZZ
Weltmeister W6,5048,SUV
Ciimo M-NV,5041,ZZZ
Beijing EU7,5012,ZZZ
Mazda Flair Crossover,4998,ZZZ
BMW Serie 3,4954,ZZZ
JAC S2,4913,SUV
Dongfeng Xiaokang EC36,4912,ZZZ
Roewe i6/ei6,4906,ZZZ
Toyota Prius C,4870,ZZZ
Skoda Citigo,4869,ZZZ
Cowin X3,4828,SUV
Infiniti QX55,4828,SUV
Chevrolet N300,4824,ZZZ
Audi e-tron GT,4793,ZZZ
Chana Star 5,4783,ZZZ
Geely Coolray (SX11),4779,ZZZ
Isuzu Traviz,4728,ZZZ
Weltmeister E.5,4723,ZZZ
Changan Eado Plus,4705,ZZZ
Maple 80V,4704,ZZZ
GAC Trumpchi GA6,4685,ZZZ
Baojun E300,4584,ZZZ
Toyota FJ Cruiser,4575,ZZZ
Hyundai Atos,4566,ZZZ
Great Wall P Series,4556,ZZZ
Lexus LM,4539,ZZZ
Toyota Levin GT,4530,ZZZ
Kia,4504,ZZZ
Audi A4 Allroad,4501,ZZZ
Mahindra Scorpio Pik Up,4473,ZZZ
Exeed VX,4469,SUV
Wuling Cortez,4423,ZZZ
Infiniti Q50L,4417,ZZZ
Lexus CT,4409,ZZZ
Denza X,4404,SUV
GAC Toyota iA5,4395,ZZZ
Ford Tourneo Custom,4389,ZZZ
Opel Grandland,4345,SUV
Renault Scénic,4339,ZZZ
MG RX8,4290,SUV
VW Bus,4281,ZZZ
Nissan Datsun Truck,4277,ZZZ
Hyundai Azera,4274,ZZZ
Mazda Flair,4268,ZZZ
Suzuki Carry Microbus,4267,ZZZ
DFSK/Dongfeng,4254,ZZZ
Daihatsu Atrai Wagon,4250,ZZZ
Lincoln Continental,4239,ZZZ
HiPhi X,4237,ZZZ
Chevrolet Silverado 1500,4228,Pickup Truck
Ford Freestyle,4228,ZZZ
Kia Proceed,4215,ZZZ
Honda S660,4204,ZZZ
Skoda,4170,ZZZ
Chery QQ Ice Cream,4160,ZZZ
Nissan NV100 Clipper Rio,4146,ZZZ
Suzuki S-Cross,4135,SUV
VW Crafter,4131,ZZZ
Citroen C6,4096,ZZZ
Suzuki Swace,4092,ZZZ
Peugeot 308 III,4088,ZZZ
BMW 6 Series,4058,ZZZ
King Long XMQ6500E,4049,ZZZ
Audi TT,4032,ZZZ
Baojun RC-6,4022,ZZZ
R Marvel R,4002,ZZZ
Lincoln MKZ,3991,ZZZ
LDV Deliver 9,3968,ZZZ
GWM Haval H2,3958,ZZZ
Honda City Sedan,3957,ZZZ
Kia KX5,3953,SUV
Hongqi E-HS9,3941,SUV
Datsun Redi-GO,3935,ZZZ
Nissan,3858,ZZZ
COS 1° Pro,3830,ZZZ
VW Sharan,3814,ZZZ
Suzuki Vitara Brezza,3809,ZZZ
Toyota Veloz,3805,ZZZ
Nissan Lannia,3799,ZZZ
Soueast DX5,3782,SUV
Qoros 7,3781,ZZZ
Ssangyong Musso XLV,3766,ZZZ
Beijing EX3,3754,ZZZ
Ssangyong Grand Musso,3724,ZZZ
Jeep Commander,3723,SUV
Changan Benben,3711,ZZZ
Dongfeng Xiaokang C31,3706,ZZZ
MG Gloster,3656,SUV
Ram ProMaster Rapid,3647,ZZZ
Hyundai Veloster,3640,ZZZ
Jaguar i-Pace,3635,SUV
Leap Motor C11,3601,ZZZ
Subaru Chiffon,3589,ZZZ
Bentley Bentayga,3571,SUV
Lexus RC,3562,ZZZ
Mitsubishi Express,3560,ZZZ
Beijing BJ80,3557,SUV
VW/MAN Express,3545,ZZZ
Mazda Carol,3509,ZZZ
VW Multivan,3509,ZZZ
Audi,3506,ZZZ
Suzuki Dzire,3474,ZZZ
Chery Arrizo 6,3469,ZZZ
Daihatsu Copen,3453,ZZZ
Nissan NP300 Navara,3445,ZZZ
Subaru Pleo,3418,ZZZ
BMW,3396,ZZZ
Citroen C5 X/Aircross,3385,ZZZ
Lexus LC,3384,ZZZ
Jaguar F-Type,3379,ZZZ
Yema Bojun (T60),3369,ZZZ
Maxus Euniq 5,3367,ZZZ
Toyota Mirai,3358,ZZZ
Nissan X Terra,3340,ZZZ
Great Wall Wingle,3327,ZZZ
Dacia Sandero II,3312,ZZZ
Hyundai HR,3298,ZZZ
Cupra Born,3282,ZZZ
Subaru BRZ,3282,ZZZ
Subaru Impreza WRX,3278,ZZZ
Acura CDX,3264,SUV
VW Up,3233,ZZZ
Suzuki APV Minibus,3231,ZZZ
Samsung SM6,3198,ZZZ
Tesla Model X,3194,SUV
Ora Good Cat GT,3167,ZZZ
Mercedes,3162,ZZZ
Toyota Prius+,3161,ZZZ
Kia K2500,3144,ZZZ
LDV D90,3132,ZZZ
Everus VE1,3127,ZZZ
MG RX5,3116,SUV
Chana Star 9,3109,ZZZ
"Mini Hatch (incl Cabrio, Clubman)",3101,ZZZ
Subaru Stella,3097,ZZZ
Renault Dokker,3092,ZZZ
Peugeot 301,3089,ZZZ
Dongfeng Fengxing T5L,3088,SUV
Infiniti Q60,3085,ZZZ
BMW iX,3069,SUV
JMEV EV3,3060,ZZZ
Bentley Continental,3049,ZZZ
Suzuki SX4 Crossover,3039,ZZZ
Suzuki Vitara/Grand Vitara,3033,ZZZ
Borgward BX5,2991,SUV
VW C-Trek,2990,ZZZ
Baojun 310W,2971,ZZZ
Lynk & Co 02 Hatchback,2948,ZZZ
Jeep Grand Wagoneer,2926,ZZZ
Hyundai Elantra Lingdong,2856,ZZZ
Honda Clarity FCV,2845,ZZZ
Fukang ES500,2840,ZZZ
Haval H2,2817,ZZZ
Suzuki Super Carry,2777,ZZZ
BMW 2 Series Tourer,2769,ZZZ
Mercedes AMG GLC,2759,ZZZ
Skoda Rapid Spaceback,2758,ZZZ
SWM X7,2753,ZZZ
Isuzu Category III,2745,ZZZ
Jetour X90 PLUS,2738,ZZZ
Chrysler Grand Caravan,2721,ZZZ
Arcfox aT,2693,ZZZ
Beijing U5 (ex-Senova D50),2669,ZZZ
JAC T8,2665,ZZZ
Kia  Sonet,2655,ZZZ
Pocco Duo Duo,2655,ZZZ
Baojun Valli,2654,ZZZ
Chevrolet NHR,2654,ZZZ
SWM G05,2637,SUV
Renault Duster Oroch,2627,Pickup Truck
JAC Refine S4,2600,ZZZ
Hyundai H100 Bakkie,2565,ZZZ
Geely Okavango,2562,ZZZ
Roewe RX8,2549,SUV
JAC Frison,2532,ZZZ
Exeed TX,2526,SUV
Porsche Boxster,2524,ZZZ
Peugeot Expert/Traveller,2517,ZZZ
Lamborghini Urus,2508,SUV
Dongfeng Mini Truck,2506,ZZZ
Haval H7,2506,ZZZ
GWM Steed,2504,ZZZ
Ford Transit/Tourneo Custom,2495,ZZZ
Skoda Kodiaq GT,2478,ZZZ
Hyundai Kauai,2455,ZZZ
Daihatsu Luxio,2451,ZZZ
Audi S4,2432,ZZZ
Baojun RS-5,2427,SUV
Aiways U5,2399,SUV
Bentley Flying Spur,2372,ZZZ
Haval H6S,2361,SUV
Geely Xingyue S,2345,ZZZ
Seat ,2340,ZZZ
JAC J7,2332,ZZZ
Geely Binray,2330,ZZZ
Citroen C3-XR,2319,ZZZ
Peugeot Boxer,2314,Van
MG ZS EV,2305,ZZZ
Sehol (SOL) E20X,2299,ZZZ
Changan Hunter,2298,ZZZ
Sehol (SOL) E50A,2294,ZZZ
GMC Yukon XL,2292,SUV
BMW 7er,2277,ZZZ
Audi e-tron Sportback,2274,SUV
Iveco Daily 35-150,2264,ZZZ
Mini Cabrio,2244,ZZZ
Suzuki Karimun Wagon R,2242,ZZZ
Geely Azkarra,2212,ZZZ
GAC Trumpchi GA4,2203,ZZZ
Chevrolet Menlo,2189,ZZZ
Chevrolet Montana,2182,Pickup Truck
Ferrari F8,2177,ZZZ
Haval F5,2148,ZZZ
MG Astor,2143,ZZZ
Arcfox aS,2134,ZZZ
Mercedes CLA-Class,2127,ZZZ
Citroen Spacetourer,2112,ZZZ
Mercedes AMG A-Class,2112,ZZZ
Alpine A110,2095,ZZZ
VW T6,2095,ZZZ
Mercedes AMG A,2090,ZZZ
BYD D1,2080,ZZZ
Foton Midi,2079,ZZZ
JAC Jiayue A5,2065,ZZZ
Hyundai I10,2062,ZZZ
Mercedes AMG GLB,2061,ZZZ
Foton TM3,2055,ZZZ
Honda E,2045,ZZZ
BYD e5,2032,ZZZ
Toyota Proace City Verso,2029,ZZZ
Mitsubishi  ,2015,ZZZ
Nissan Livina,2015,ZZZ
Lada Niva Legend,2011,ZZZ
Bestune NAT,1997,ZZZ
Daewoo Alpheon,1989,ZZZ
Cupra Leon,1969,ZZZ
Beijing X5,1942,SUV
Ssangyong Korando,1935,SUV
Ford Ka Sedan,1910,ZZZ
GAC Honda Yile,1897,ZZZ
BMW 8er,1894,ZZZ
Mercedes GLE Coupe,1873,ZZZ
Porsche Cayenne Coupe,1857,ZZZ
Isuzu F Series,1844,ZZZ
Aston Martin DBX,1836,SUV
Zedriv GC1,1821,ZZZ
Mahindra Marazzo,1816,ZZZ
Renault Sandero/Stepway,1810,ZZZ
Jeep,1801,ZZZ
Chevrolet Tornado Van,1779,ZZZ
Ford Tourneo,1772,ZZZ
Ram Van 700 City,1748,ZZZ
Changan CS55 E-rock,1738,ZZZ
Chevrolet Cruze Hatch,1733,ZZZ
Chana Star V3,1730,ZZZ
Mercedes Classe E,1730,ZZZ
Toyota Etios Sedan,1714,ZZZ
Hongqi E-HS3,1713,SUV
Ford Transit Courier,1702,ZZZ
Beijing EU Series,1683,ZZZ
BYD e6,1683,SUV
Ciimo X-NV,1671,ZZZ
Skyworth ET5,1670,ZZZ
Hyundai H1 100 Bus,1624,ZZZ
Dongfeng Glory iX5,1623,ZZZ
KYC T3,1623,ZZZ
Kia Eko Taxi,1595,ZZZ
Haima 8S,1592,SUV
Chevrolet Sonic,1581,ZZZ
Citroen C-Elysée,1580,ZZZ
Mini Cabriolet,1572,ZZZ
Jaguar XF,1570,ZZZ
Chery Arrizo GX,1545,ZZZ
Cupra Ateca,1544,ZZZ
Ssangyong Rexton,1514,SUV
Ford Aspire,1502,ZZZ
Suzuki Across,1499,SUV
Daewoo Labo,1487,ZZZ
Changan CS55,1481,SUV
Hyundai HB20S Accent,1471,ZZZ
Ford Galaxy,1467,Van
Dongfeng Fengxing M7,1466,ZZZ
Audi R8,1464,ZZZ
Changan MD201,1455,ZZZ
DS 7,1442,ZZZ
Soueast DX3,1433,SUV
WEY Macchiato,1428,SUV
Haval H4,1423,ZZZ
Porsche Cayman,1421,ZZZ
Fukang e Elysee,1404,ZZZ
Buick Excelle GX,1402,ZZZ
Dongfeng Glory E3,1401,ZZZ
Isuzu Category IV,1397,ZZZ
LDV V80,1390,ZZZ
Alfa Romeo Giulietta,1369,ZZZ
Toyota Copen GR Sport,1364,ZZZ
Dongfeng Glory E1,1362,ZZZ
Geely Atlas,1358,ZZZ
Beijing U5 Plus,1357,ZZZ
GAC NE Aion LX,1357,ZZZ
Mercedes AMG C-Class,1355,ZZZ
Dongfeng Glory iX7,1353,ZZZ
Chery Big Ant,1350,ZZZ
Toyota Coaster,1327,Van
Hino 300 Series,1326,ZZZ
JAC Sei2,1314,ZZZ
Mercedes EQS,1307,ZZZ
Mazda Scrum Wagon,1296,ZZZ
Renault Samsung Master,1290,ZZZ
Renault Espace,1286,ZZZ
MG EHS,1280,ZZZ
Great Wall GWM Cannon,1276,ZZZ
Volvo S60/V60,1270,ZZZ
Ford Focus Active,1267,ZZZ
Geometry EX3,1267,SUV
Yema Spica,1264,ZZZ
Maserati Quattroporte,1260,ZZZ
Brilliance H300,1258,ZZZ
Renault Samsung Captur,1254,ZZZ
MG MG5,1249,ZZZ
Jetour X70S,1247,ZZZ
Lada 4×4,1247,ZZZ
Lynk & Co 09,1246,ZZZ
Susuki S-Presso,1243,ZZZ
Kia KX7,1240,SUV
Enovate ME7,1237,SUV
Geometry T,1233,ZZZ
Lingbox Coco,1229,ZZZ
VW Caravelle,1229,ZZZ
Honda Integra,1226,ZZZ
Volvo,1222,ZZZ
Maxus D60,1200,SUV
MG One,1198,SUV
Genesis GV60,1190,SUV
Pocco Meimei,1189,ZZZ
Mg 6,1188,ZZZ
JAC HFC1035KN,1186,ZZZ
Lamborghini Huracan,1181,ZZZ
JAC X200,1176,ZZZ
Mercedes AMG CLA,1174,ZZZ
Mg T60,1164,ZZZ
Maxus D90,1162,SUV
Maple 30X,1160,ZZZ
Troller T4,1160,ZZZ
Toyota 86/GR86,1152,ZZZ
Iveco Daily,1147,Van
Dongfeng Fengxing X5,1144,ZZZ
Renault Logan Stepway,1127,ZZZ
Isuzu RF,1121,ZZZ
Toyota Etios Hatch,1096,ZZZ
Land Rover,1091,ZZZ
MG GT,1089,ZZZ
JMC JX Series,1087,ZZZ
VW Taigo,1087,SUV
GWM Haval H9,1086,ZZZ
Nissan Terrano,1080,SUV
Soueast A5 Yiwu,1080,ZZZ
Dongfeng Fengshen A60,1072,ZZZ
Peugeot Landtrek,1070,ZZZ
Hino 700 Series,1062,ZZZ
Jaguar XE,1057,ZZZ
Kenworth T800,1053,ZZZ
Hycan Z03,1045,SUV
Isuzu Elf,1045,ZZZ
Toyota Proace City,1039,ZZZ
Sitech DEV1,1037,ZZZ
Yudo p1,1026,ZZZ
Fiat 124 Spider,1007,ZZZ
Hyundai Grand Metro Taxi,1007,ZZZ
Wuling Formo,998,ZZZ
Beijing BJ30,997,SUV
Toyota Proace Verso,991,ZZZ
Volvo C40,989,SUV
Chana Oshan Changxing,987,ZZZ
Iveco Daily 30-130,981,ZZZ
Suzuki Ciaz,980,ZZZ
UAZ Bukhanka,979,ZZZ
Soueast DX7,969,SUV
Geely Atlas Pro,965,ZZZ
MG RX6,963,ZZZ
WEY VV7 GT,959,ZZZ
Ferrari Roma,955,ZZZ
JAC iEV6E,954,ZZZ
JMC Yusheng S350,945,ZZZ
Mercedes AMG GLA,938,ZZZ
Jetour X95,935,SUV
Chevrolet FRR,928,ZZZ
Hyundai HB20X Graviti,925,ZZZ
Buick Velite 7,923,SUV
GAZ Gazel Next Truck,919,ZZZ
Sehol (SOL) Yao,913,ZZZ
BMW 2 Series Coupe/Conv,908,ZZZ
Kia Cee’d,908,ZZZ
Renault Alaskan,908,ZZZ
Suzuki Beidouxing X5,908,ZZZ
Daihatsu Sirion,900,ZZZ
BMW 325i,898,ZZZ
UAZ Van,896,ZZZ
Foton BJ1128,895,ZZZ
Foton BJ1044,880,ZZZ
SWM G01,879,SUV
Toyota Prius Plus,874,ZZZ
Borgward BX7,851,SUV
Mercedes Sprinter 416,843,ZZZ
Cowin Xuandu,841,ZZZ
Chevrolet Chevytaxi,837,ZZZ
Rolls-Royce Cullinan,834,SUV
Ford Custom,831,ZZZ
Dayun Yuehu,828,ZZZ
Opel Astra K,825,ZZZ
Chevrolet NQR,816,ZZZ
JAC Jiayue X7,813,ZZZ
Hyundai Encino,811,ZZZ
GAC Trumpchi GA8,810,ZZZ
Geely Emgrand GE,808,ZZZ
Beijing Warrior,807,ZZZ
Man TGE,805,ZZZ
Dayun Yuanzhi M1,804,ZZZ
Lexus ES/IS/LS/RC/UX,801,ZZZ
Leap Motor S01,794,ZZZ
Toyota Vellfire,790,ZZZ
JAC iEVA50,785,ZZZ
Foton Fengjing G5,784,ZZZ
WEY Latte DHT,782,ZZZ
Renault Samsung Zoe,774,ZZZ
Beijing Jeep,766,ZZZ
Chevrolet Impala,761,ZZZ
Rivian R1T,760,Pickup Truck
Opel Vivaro,749,Van
Changan E-Pro,736,ZZZ
BMW X5M,731,ZZZ
Chevrolet Damas,730,ZZZ
Aston Martin Vantage,726,ZZZ
Audi Q4 e-tron,723,SUV
JAC S3,719,SUV
Chevrolet Equinox ,714,ZZZ
JAC HFC1120KN,711,ZZZ
JAC Sei3,711,ZZZ
Chevrolet NPR,709,ZZZ
Chery Jetour X70,706,ZZZ
Hyundai iMax,706,ZZZ
Toyota Corolla Altis,706,ZZZ
BMW 2 Series Active Tourer,700,ZZZ
SWM X2,700,ZZZ
Nissan 370Z,692,ZZZ
Toyota City,683,ZZZ
Qoros 5 SUV,681,ZZZ
Kia Sedona,679,ZZZ
Peugeot Traveller,675,ZZZ
Dongfeng Junfeng E11K,674,ZZZ
Audi S5,668,ZZZ
Land Rover Range Rover,663,SUV
Zedriv GX5,663,ZZZ
VW California,661,ZZZ
JAC Sei4,660,ZZZ
BMW M4,659,ZZZ
Ram ProMaster,659,Van
Kia Rio X,658,ZZZ
Nissan NV300,657,Van
Hyundai H1,653,ZZZ
Geely GS,647,ZZZ
Mercedes Sprinter 314,647,ZZZ
BMW M3,646,ZZZ
Sehol (SOL) E40X,644,ZZZ
Mercedes GLA-Class,639,ZZZ
Chevrolet NKR,634,ZZZ
Aston Martin DB11,632,ZZZ
Mercedes Clase GLE,627,ZZZ
Rolls Royce Cullinan,626,ZZZ
VW Cross Sport,625,ZZZ
Venucia e30,620,ZZZ
Ram V700,618,ZZZ
Mitsubishi Mirage Hatch,615,ZZZ
Mercedes Clase GLC,609,ZZZ
Hyundai HB20 Getz,607,ZZZ
Toyota GR Yaris,607,ZZZ
Cadillac Escalade ESV,603,SUV
DFSK EQ Series,602,ZZZ
Hino XZU640L,599,ZZZ
Suzuki Alto 800,595,ZZZ
JAC S5,593,ZZZ
Rolls-Royce Ghost,592,ZZZ
KAMAZ 6511,590,ZZZ
Mercedes GLC-Class,590,ZZZ
Ora iQ,589,SUV
Geely Emgrand X7,583,ZZZ
Suzuki APV,583,ZZZ
BMW 330E,579,ZZZ
Mercedes Citan,571,ZZZ
Nissan Hardbody,567,ZZZ
VW Passat Wagon,566,ZZZ
Lamborghini Coupe,563,ZZZ
JMEV EX5,562,ZZZ
Audi RS5,561,ZZZ
Toyota C+POD,561,ZZZ
Beijing EX5,559,ZZZ
Brilliance Xinri i03A,559,ZZZ
Ravon R4,557,ZZZ
SsangYong Korando C,553,ZZZ
Baojun RS-7,551,ZZZ
Neta N01,549,ZZZ
VGV U75 Plus,547,ZZZ
Effa V21,545,ZZZ
Ferrari SF90,540,ZZZ
Beijing U7,538,ZZZ
Karry K60,538,SUV
Enovate ME5,536,SUV
Brilliance Xinri i03,535,ZZZ
Subaru Liberty,534,ZZZ
Peugeot Manager,533,ZZZ
JAC Sunray,532,ZZZ
Sehol (SOL) X4,529,ZZZ
Chevrolet FVR,526,ZZZ
Toyota 86,521,ZZZ
Ford Transit/Custom,519,ZZZ
Dongfeng Junfeng EV30,518,ZZZ
BYD e1,516,ZZZ
Nissan GT-R,511,ZZZ
Iran Khodro Arisun,495,ZZZ
BMW 6er,489,ZZZ
Chana Raesor S50,488,ZZZ
Citroen e-C4,483,ZZZ
BMW X3M,482,ZZZ
UAZ Patriot,474,SUV
Kia K Series,471,ZZZ
Zamyad Padra,470,ZZZ
Mercedes EQV,468,ZZZ
Mercedes SL Class,467,ZZZ
Yudo p3,467,ZZZ
Mitsubishi Town Box,464,ZZZ
Rolls Royce Ghost,464,ZZZ
Suzuki Celerio,460,ZZZ
JAC Sei7 PRO,458,ZZZ
Wuling Rongguang V,457,ZZZ
Ferrari,456,ZZZ
Haima E1,455,ZZZ
Venucia T90,452,SUV
Porsche 911/Carrera,446,ZZZ
Ferrari 812,444,ZZZ
JAC iC5,440,ZZZ
Lotus Evora GT,436,ZZZ
Mercedes 108-314,436,ZZZ
Land Rover Range Rover Velar,434,SUV
Mercedes GLE-Class,429,ZZZ
Dongfeng Glory 560,422,ZZZ
Haval H6 Coupe,421,ZZZ
Toyota Prius V,420,ZZZ
Audi RS4,419,ZZZ
Mahindra Alturas G4,419,ZZZ
Chrysler Pacifica ,417,ZZZ
Haval F7X,417,ZZZ
Mercedes Valente,416,ZZZ
MG MG6,416,ZZZ
JAC T6,414,ZZZ
Land Rover Range Rover Sport,414,SUV
DS 9,411,ZZZ
Mercedes AMG E-Class,408,ZZZ
JAC Refine L6 Max,404,ZZZ
FAW Jilin Senia R8,400,ZZZ
Opel Zafira,398,ZZZ
Hycan 007,395,ZZZ
Ford Super Duty,394,ZZZ
Sehol (SOL) X7,394,ZZZ
Honda City Hatchback,392,ZZZ
Toyota Granvia,391,Van
BMW X4M,388,ZZZ
Cowin E5 EV,385,ZZZ
Maxus Euniq,385,ZZZ
Gmc Yukon XL,384,SUV
Opel Mokka X,381,ZZZ
Mercedes EQB,379,ZZZ
Citroen C3  ,377,ZZZ
