Model,Sales,Type
Nissan Navara,98466,Pickup Truck
Jeep Gladiator,98413,Pickup Truck
Kia Stonic,97820,SUV
Mercedes GLA,97044,ZZZ
Geely Binyue,96226,SUV
Daihatsu Move,95840,ZZZ
Hyundai Porter,95741,Pickup Truck
Geely Vision X3,94618,ZZZ
Kia Carnival,94004,ZZZ
Kia Soul,93120,ZZZ
Chevrolet Onix,92992,ZZZ
GMC Yukon,91679,SUV
Seat Leon,91335,ZZZ
LI One,91310,ZZZ
Renault Duster,91162,ZZZ
VW Jetta,91136,ZZZ
Mazda3 Axela,91079,ZZZ
Ford Expedition,90987,SUV
Chevrolet Colorado,90900,ZZZ
Kia Picanto,90330,ZZZ
Wuling Hongguang V,90181,ZZZ
Hyundai HB20,90178,ZZZ
Nissan Note,90178,ZZZ
Hyundai Grandeur,89084,ZZZ
Toyota Tundra,88796,Pickup Truck
Peugeot 208 II,88013,ZZZ
Suzuki WagonR,87780,ZZZ
Buick Encore GX,87733,SUV
Changan CS35 Plus,87578,SUV
Fiat Argo,87160,ZZZ
Kia Ceed,87149,ZZZ
Ford Kuga,87101,SUV
Dodge Charger,86382,ZZZ
Kia Sonet,86048,SUV
VW Atlas,85876,SUV
Volvo XC90,85367,SUV
Renault Clio V,85247,ZZZ
Cadillac XT5,84969,SUV
Nissan Roox,84748,ZZZ
Hyundai Accent,84423,ZZZ
Hyundai i20,84155,ZZZ
Changan UNI-T,83890,SUV
Mitsubishi Xpander,83882,ZZZ
Hyundai iX35,83317,SUV
Seat Ibiza,83316,ZZZ
Skoda Fabia,82633,ZZZ
Suzuki Hustler,82486,ZZZ
Toyota Rush,81870,SUV
Hongqi H5,81056,ZZZ
Nissan Frontier,80992,Pickup Truck
GAC Trumpchi GS4,80700,ZZZ
Toyota Harrier,80400,ZZZ
Honda City,80238,ZZZ
Toyota Yaris L,79466,ZZZ
Jetta VS5,79427,ZZZ
Toyota Avanza,78429,ZZZ
TANK 300,77593,SUV
Isuzu D-Max,77542,Pickup Truck
Mini,77289,ZZZ
Chevrolet Blazer,77135,SUV
Peugeot 2008 II,75477,ZZZ
Changan CS75,75400,SUV
Chery eQ1 (Little Ant),75240,ZZZ
Toyota Corolla Cross,74679,ZZZ
Dodge Durango,73897,SUV
Buick Enclave,73873,SUV
Subaru Impreza,73765,ZZZ
Dacia Sandero III,73740,ZZZ
Lynk & Co 03,73074,ZZZ
Porsche Macan,73020,SUV
Toyota Aqua,72495,ZZZ
Cadillac CT5,72343,ZZZ
Hyundai Elite i20,72292,ZZZ
Mercedes S Class,71969,ZZZ
VW Gol,71955,ZZZ
GAC NE Aion S,71837,ZZZ
Fiat Egea,71741,ZZZ
Toyota Voxy,71513,ZZZ
Changan Benben E-Star,71496,ZZZ
BMW 5 Series,71252,ZZZ
Fiat Toro,71150,Pickup Truck
Hyundai Avante,71031,ZZZ
Fiat Mobi,70220,ZZZ
Tata Altroz,69744,ZZZ
Honda Freed,69577,ZZZ
Ora R1/Black Cat,69190,ZZZ
Acura RDX,68903,SUV
BYD Song Pro,68866,SUV
VW Up!,68344,ZZZ
Toyota Venza,68238,ZZZ
Ford Mustang,68180,ZZZ
Jetour X70 PLUS,67757,SUV
Nissan Murano,66935,SUV
Ram ProMaster Van,66369,ZZZ
Genesis G80,66271,ZZZ
Mazda CX-3,66041,SUV
Chevrolet Tracker,65843,SUV
Daihatsu Mira,65803,ZZZ
VW ID.4,65551,SUV
Maruti Suzuki S-Presso,65478,ZZZ
Acura MDX,65417,SUV
Mahindra Bolero,65323,ZZZ
Porsche Cayenne,65145,SUV
Citroen C3 Aircross,65095,ZZZ
Tata Tiago,64994,ZZZ
GAC Trumpchi GM8,64598,ZZZ
Geely Vision X6,64385,ZZZ
Skoda Kodiaq,64049,ZZZ
Mercedes Sprinter,63904,ZZZ
GMC Acadia,63893,SUV
Cadillac XT4,63674,SUV
Subaru Ascent,63339,SUV
Renault Zoe,62645,ZZZ
Toyota Hiace,62617,Van
Daihatsu Taft,62278,ZZZ
Wuling Victory,62178,ZZZ
Mazda CX-9,61645,SUV
VW Lamando,61137,ZZZ
Hyundai Solaris,61061,ZZZ
Mitsubishi Eclipse Cross,60981,SUV
Suzuki Vitara,60962,SUV
Suzuki Jimny,60603,SUV
Audi A4,60405,ZZZ
Geely Binrui,60385,ZZZ
Mazda2,60171,ZZZ
Xpeng P7,60108,ZZZ
Chevrolet Spark,60053,ZZZ
Kia Bongo,59729,Pickup Truck
Nissan Sunny,59475,ZZZ
Seat Ateca,59180,SUV
Toyota Prado,59147,ZZZ
Nissan Serena,59028,Van
Toyota Sienta,58643,ZZZ
VW ID.3,58643,ZZZ
Renault Arkana,57619,SUV
BMW X2,57429,SUV
Cadillac XT6,57384,SUV
Dodge Challenger,56165,ZZZ
Honda Passport,56002,SUV
GMC Terrain,55740,SUV
Audi Q7,55710,SUV
Toyota Innova Crysta,55250,ZZZ
Toyota Aygo,55047,ZZZ
Chevrolet Onix Plus,54707,ZZZ
Nissan Tiida,54284,ZZZ
Hyundai i10,54205,ZZZ
Mini Countryman,54041,SUV
Genesis GV70,53917,SUV
Nissan Dayz,53773,ZZZ
BYD Tang,53602,SUV
Audi A5,53428,ZZZ
VW Taos,53421,SUV
Hyundai Ioniq,53351,ZZZ
Lada Niva,53327,SUV
Chevrolet Suburban,53005,SUV
Lexus UX,52815,SUV
Lynk & Co 06,52680,ZZZ
Jetta VA3,52638,ZZZ
Renault Captur II,52596,ZZZ
Iran Khodro Dena,52585,ZZZ
Fiat Ducato,52498,ZZZ
Honda Brio,52325,ZZZ
Suzuki Carry Pikap,52220,ZZZ
Buick LaCrosse,52165,ZZZ
Honda Elysion,52158,ZZZ
Iran Khodro Samand,52055,ZZZ
Honda Inspire,52047,ZZZ
Ford Fiesta,51932,ZZZ
Citroen C5 Aircross,51702,ZZZ
Fiat 500X,51525,ZZZ
Mitsubishi ASX,51138,SUV
GAZ Gazelle,50963,Van
Nissan Leaf,50746,ZZZ
Honda N-WGN,50728,ZZZ
COS X7,50558,ZZZ
Fiat Tipo,50276,ZZZ
Chevrolet Trax,50269,ZZZ
Lynk & Co 01,50261,ZZZ
Suzuki Ignis,50194,ZZZ
Renault Twingo,50022,ZZZ
Kia K3,49993,ZZZ
Lincoln Corsair,49839,SUV
Toyota Kijang Innova,49745,ZZZ
Skoda Superb,49686,ZZZ
Opel Mokka,49599,SUV
Mercedes GLS,49593,SUV
Renault Logan,49452,ZZZ
Opel Astra,49410,ZZZ
Hyundai Verna,49389,ZZZ
VW Teramont,48813,SUV
Opel Crossland,48525,SUV
Audi Q2L,48418,ZZZ
BMW 4 Series,47765,ZZZ
Mahindra XUV300,47432,ZZZ
Genesis GV80,47212,SUV
GAC Trumpchi GM6,47169,ZZZ
MG 6,47162,ZZZ
Peugeot 5008,47128,SUV
Mitsubishi Triton,47110,Pickup Truck
Nissan March,47004,ZZZ
Chery Arrizo 5/e,46912,ZZZ
Cupra Formentor,46799,SUV
Kia K8,46741,ZZZ
Mitsubishi Outlander Sport,46672,ZZZ
BYD F3,46629,ZZZ
Roewe Clever,46608,ZZZ
Neta V,46386,ZZZ
Chevrolet Express,46301,Van
Renault Sandero,46081,ZZZ
Dacia,46044,ZZZ
Wuling Rongguang,45372,Van
BMW X7,45307,SUV
Cadillac Escalade,45075,SUV
BMW 2 Series,45069,ZZZ
Renault Mégane,45061,ZZZ
Nissan Pathfinder,44976,SUV
Honda Crider,44846,ZZZ
Honda Ridgeline,44846,Pickup Truck
Suzuki Solio,44713,ZZZ
Toyota Noah,44211,ZZZ
Toyota IZOA,43866,ZZZ
Geely Xingyue L,43845,SUV
Lada Largus,43814,ZZZ
Dongfeng Fengxing T5 EVO,43775,ZZZ
Lancia Ypsilon,43735,ZZZ
Hyundai Celesta,43655,ZZZ
VW Atlas Cross Sport,43303,ZZZ
Ford Mondeo,43059,ZZZ
Mini All,42938,ZZZ
BMW X4,42376,SUV
Volvo S90,42186,ZZZ
BMW 3er,41704,ZZZ
Kia Cerato,41683,ZZZ
Skoda Rapid PA II,41680,ZZZ
Mercedes V Class,41570,ZZZ
Ora Good Cat,41420,ZZZ
NIO ES6,41127,SUV
Ford Bronco,41013,SUV
Jetta VS7,40970,ZZZ
Vauxhall Corsa,40914,ZZZ
Nissan Juke,40716,SUV
Audi A1,40551,ZZZ
Ford E Series,40460,ZZZ
Ford Escort,40386,ZZZ
Geely Haoyue,40385,SUV
Honda Amaze,39697,ZZZ
Honda Avancier,39690,SUV
Mercedes CLA,39690,ZZZ
Kia Morning,39645,ZZZ
Mini Cooper,39534,ZZZ
Leap Motor T03,39433,ZZZ
Renault Triber,39316,SUV
Audi Q2,39283,SUV
Daihatsu Gran Max Pikap,39254,ZZZ
Honda StepWGN,39247,ZZZ
Skoda Enyaq,39243,ZZZ
Land Rover Defender,39174,SUV
Mitsubishi L200,39090,ZZZ
Maruti Suzuki XL6,39002,ZZZ
Wuling Sunshine,38988,Van
Range Rover Sport,38771,ZZZ
Fiat Fiorino,38672,ZZZ
Geely Emgrand GL,38637,ZZZ
Lincoln Aviator,38459,SUV
Mitsubishi Mirage,38389,ZZZ
VW Nivus,38314,SUV
Mazda BT-50,38123,Pickup Truck
VW Transporter,38114,ZZZ
Geely Vision,37926,ZZZ
Honda Envix,37892,ZZZ
BYD Qin,37833,ZZZ
Nissan Magnite,37783,SUV
Samsung QM6,37747,ZZZ
Skoda Scala,37663,ZZZ
Hyundai Aura,37584,ZZZ
VW Saveiro,37507,ZZZ
Venucia D60,37399,ZZZ
Daihatsu Sigra,37093,ZZZ
Chevrolet Aveo,37041,ZZZ
Mahindra Scorpio,37006,ZZZ
Dongfeng Fengxing Lingzhi (Future),36740,ZZZ
VW Tacqua,36709,SUV
Dongfeng Fengshen Hyun,36602,ZZZ
Range Rover Evoque,36520,ZZZ
BYD Yuan,36436,SUV
Citroen C4,36403,ZZZ
Zamyad Z24 (Nissan Junior),36376,ZZZ
GAC Trumpchi Empow,36350,ZZZ
Chery Arrizo 5 PLUS,36293,ZZZ
Baojun RS-3,36286,SUV
Land Rover Discovery Sport,36182,SUV
Toyota Calya,36062,ZZZ
Toyota Urban Cruiser,35967,SUV
Kia Ray,35956,ZZZ
Fiat 500/500L/500X,35787,ZZZ
Chevrolet S10,35577,ZZZ
Chevrolet Corvette,35534,ZZZ
Beijing EU5,35421,ZZZ
Fiat Doblo,35188,ZZZ
GAC Trumpchi GS3,34910,ZZZ
Changan Raeton CC,34525,ZZZ
BMW 7 Series,34375,ZZZ
Baojun 510,34249,SUV
Wuling Hongguang S3,34207,ZZZ
Mitsubishi eK,34100,ZZZ
Lexus GX,33899,SUV
Mazda CX-8,33836,SUV
Kia Xceed,33717,SUV
Range Rover,33509,ZZZ
Haval F7,33465,SUV
Hongqi H9,33204,ZZZ
Changan UNI–K,33159,ZZZ
MG3,32923,ZZZ
Maruti Suzuki Celerio,32852,ZZZ
Maruti Suzuki Ignis,32735,ZZZ
Honda UR-V,32608,SUV
Toyota Passo,32542,ZZZ
VW Touran,32535,ZZZ
Dongfeng Glory 500,32338,ZZZ
Baojun 730,32332,ZZZ
Audi Q8,32282,SUV
MG Hector,32231,SUV
Daihatsu Rocky,32169,SUV
Mahindra Thar,32129,ZZZ
BYD e2,32124,ZZZ
Mitsubishi Pajero Sport,32028,SUV
Hyundai Ioniq 5,31928,SUV
Wuling Xingchen/Asta,31636,ZZZ
Ford Mustang Mach E,31493,ZZZ
GAC NE Aion Y,31381,ZZZ
Buick Encore S,31308,ZZZ
VW Vento,31266,ZZZ
Mercedes G Class,31185,SUV
Citroen C1,31180,ZZZ
Toyota Yaris Cross,31082,SUV
Renault Kadjar,31053,SUV
Audi e-tron,31024,SUV
Mitsubishi Space Star,31022,ZZZ
VW Voyage,30846,ZZZ
Haval First Love,30826,ZZZ
Peugeot 508,30801,ZZZ
Infiniti QX50,30785,SUV
Chevrolet Bolt,30670,ZZZ
VW Caddy,30453,ZZZ
Ford Transit Connect,30374,Van
